aspect,negative,neutral,positive,total
multiple electronic devices,0,2,1,3
multiple charging plug,0,0,3,3
Good zipper,0,0,3,3
probably) minor flaws,0,3,0,3
probably an Asus router,3,0,0,3
probably a good USB player,3,0,0,3
Best wireless mouse,0,0,3,3
pristine video quality,0,0,3,3
printer&#34,0,3,0,3
musical ear,0,3,0,3
Good sound system,0,0,3,3
battery needs,3,0,0,3
battery port,0,3,0,3
Very soft and nice sleeve,0,0,3,3
Good throughput,0,0,3,3
Good tablet case,0,0,3,3
multiple speaker brands,0,0,3,3
multiple smart devices,0,0,3,3
primarily Shure SE215,0,3,0,3
pristine images,0,0,3,3
any specs,0,3,0,3
Better than expected quality,0,0,3,3
Better signal strength,0,0,3,3
pretty sturdy.<br,2,0,1,3
previous high-end cameras,0,3,0,3
battery life.<br />iTunes,0,0,3,3
battery life.<br /><br />Cons:<br />I,0,0,3,3
namely the quality,0,0,3,3
name-brand parts,0,3,0,3
native controller,3,0,0,3
native HD resolution,0,3,0,3
n65r,0,0,3,3
musical instruments,1,1,1,3
pretty slow reading discs,3,0,0,3
pretty slow and high speed,0,0,3,3
Better touch screen,0,0,3,3
"Big easy to read, nice alarm",0,0,3,3
pretty old equipment,3,0,0,3
pretty much every e-paper device,3,0,0,3
Very solid feel,0,0,3,3
Good quality wire,0,0,3,3
Good replacement battery,0,0,3,3
Good rendering,0,0,3,3
battery lasts,0,0,3,3
network appliance,0,0,3,3
Good quality monitor,0,0,3,3
Good quality products,0,0,3,3
needed parts,0,3,0,3
Good quality scanner,0,0,3,3
Good ram,0,0,3,3
neither charge,0,3,0,3
BlackMagic Disk Speed test,0,3,0,3
any touch screen protector.<br /><br />I,3,0,0,3
any typical broken hardware sounds,0,0,3,3
any type device,0,0,3,3
Black rubber portion,3,0,0,3
Bit rate mode,0,3,0,3
Bit rate,0,3,0,3
pretty good resolution,0,0,3,3
pretty good quality earbuds,0,0,3,3
pretty good photos,0,0,3,3
new digital monitor,0,3,0,3
battery levels.<br,3,0,0,3
Good quality charger,0,0,3,3
new components,0,3,0,3
new and good quality,0,0,3,3
any usable feature,3,0,0,3
"any unsightly, gigantic logo",0,3,0,3
pretty excellent quality,0,0,3,3
pretty deluxe,0,0,3,3
Bluetooth Receiver,0,3,0,3
pretty clear and motion sensor,0,0,3,3
pretty decent connecting,0,0,3,3
Bluetooth audio mode,0,3,0,3
Bluetooth Codec,0,0,3,3
battery degenerates,0,3,0,3
new media devices,0,3,0,3
Good pocket camera,0,0,3,3
new developments,0,3,0,3
Good quality Product,0,0,3,3
new circuit board,0,3,0,3
Bluetooth card,2,1,0,3
Bluetooth Music Player,3,0,0,3
Bluetooth Multi-Device Keyboard,0,0,3,3
Bluetooth MP3 Music Player,0,0,3,3
pressed) mode,3,0,0,3
pretty cheap and thin plastic,0,3,0,3
pretty basic quality,0,3,0,3
pretty basic headphones,2,1,0,3
premature low battery warnings,3,0,0,3
Bluetooth calls,0,0,3,3
battery drains,0,3,0,3
newer version lap tops,0,3,0,3
"Good fitting, great quality, sleek design",0,0,3,3
newer devices.<br,3,0,0,3
Good iPad protection,0,0,3,3
Good looking dash cam,0,0,3,3
Bluetooth device.<br,0,0,3,3
Bluetooth coverage,3,0,0,3
preferably not a model,0,3,0,3
Wonderful sound quality,0,0,3,3
Bluetooth es demasiado bajo  tengo otro Bluetooth viejito,0,3,0,3
"prefectly good, expensive speakers",0,3,0,3
Bluetooth driver,3,0,0,3
practically all other Anker cables.<br,0,0,3,3
Bluetooth great cheap product,0,0,3,3
Bluetooth output,0,0,3,3
nice and great quality,0,0,3,3
battery and memory card,0,3,0,3
battery and SD card,0,3,0,3
battery conservation,0,3,0,3
nice and decent quality,0,0,3,3
Good finishing but prone size,0,3,0,3
Good hard drive,0,0,3,3
next gen systems,0,3,0,3
any video storage,0,3,0,3
power-consumption,0,3,0,3
Bluetooth results!<br,0,3,0,3
Bluetooth phones,0,3,0,3
power saving.<br />Terrible product,3,0,0,3
power surge capabilities,0,3,0,3
power profiles,0,3,0,3
Bluetooth technology now.<br,0,3,0,3
nice flexible jacketing,0,0,3,3
battery backups,0,2,1,3
nice compact mounting options,0,0,3,3
Good charge cable,0,0,3,3
Good compact pocket reader,0,0,3,3
nice brightness,0,0,3,3
Good close range video quality,0,0,3,3
Bluetooth' menu page,0,3,0,3
Wonderful monitor,0,0,3,3
Blutooth connection,0,3,0,3
power charging mode,0,3,0,3
power mode,0,3,0,3
Bose IE2s,0,3,0,3
Boompod,3,0,0,3
Bose Speakers,3,0,0,3
nice product quality,0,0,3,3
bass and battery life,0,3,0,3
battery #,3,0,0,3
batteries.<br /><br />Crappy mouse,3,0,0,3
nice looking logo,0,0,3,3
Good cheap indoor camera system,0,0,3,3
nice clean and deep sounds.<br,0,0,3,3
anywhere from 390 to 660 megabytes,0,3,0,3
portrait and landscape modes!<br,0,0,3,3
Bose level quality,0,3,0,3
Bose headphone products,0,0,3,3
Bose.<br />The sound quality,3,0,0,3
Bose systems,0,1,2,3
portable stand,0,2,1,3
nice small footprint,0,0,3,3
nice small compact size,0,0,3,3
Very thin material,3,0,0,3
Good basic Fitbit band,0,0,3,3
nice prints,0,0,3,3
nice plastic keys,0,0,3,3
Good bass and awesome ear plugs,0,0,3,3
nicest firmware,0,0,3,3
nine cameras,0,0,3,3
no Bluetooth connection,0,0,3,3
basically a large screen,0,0,3,3
night vision devices.<br,0,3,0,3
night vision devices,3,0,0,3
nice.<br />- Charges,0,0,3,3
Good Windows tablet,0,0,3,3
"nice, good sound quality",0,0,3,3
Both features,0,0,3,3
Both earphones,0,0,3,3
Both pieces,0,2,1,3
anywhere between 128 and 512 megs,0,3,0,3
anywhere and decent picture quality,0,0,3,3
portable hard drive,0,0,3,3
portable battery,0,1,2,3
portable device,0,0,3,3
portable case battery,0,3,0,3
Both the hard disk,0,0,3,3
Brand new Pro,3,0,0,3
portable USB power,0,0,3,3
Both transmitters,0,0,3,3
Wonderful quality,0,0,3,3
apollo lake processor,0,3,0,3
port speed,0,3,0,3
port activity,3,0,0,3
popular laptops,0,3,0,3
poor photo quality,3,0,0,3
Gigabytes,0,2,1,3
Gigabyte MB,0,3,0,3
no -- apps,0,3,0,3
no IPod,0,3,0,3
GoPro Accessories,0,0,3,3
Good Battery,0,0,3,3
Good 1080 small size,0,3,0,3
no Android/iPhone app,3,0,0,3
Good Dash Camera,0,0,3,3
poor quality video,2,0,1,3
poor quality product,3,0,0,3
poor streaming,3,0,0,3
apparently other devices,0,3,0,3
apparently netgear's advertised download speeds,3,0,0,3
apparently good quality,0,0,3,3
Wireless-N,0,3,0,3
Wireless-AC,0,3,0,3
Wireless throughput,0,0,3,3
Business class devices,3,0,0,3
poor quality components.<br /><br />I've,3,0,0,3
no battery life limitations,0,3,0,3
basic remote control functions,0,3,0,3
basic phone,0,0,3,3
Gigabit Ethernet connection,0,3,0,3
no PC/Web app,3,0,0,3
no added functionality,3,0,0,3
no actual buttons,2,0,1,3
Budget quality wireless mouse,0,0,3,3
apparent quality,0,0,3,3
Wireless link,0,0,3,3
poor low end,3,0,0,3
But good quality monitor,0,0,3,3
poor charging capabilities,3,0,0,3
Garmin Thinking,3,0,0,3
Garmin Pilot,0,1,2,3
Garmin's site,0,3,0,3
GeForce,0,2,1,3
Gateron,0,0,3,3
poor battery performance,3,0,0,3
point-and-shot cameras,0,0,3,3
poor Quality control,3,0,0,3
basic headphones,0,0,3,3
basic keyboard,0,0,3,3
GSkill ram,0,3,0,3
no dedicated volume control buttons,3,0,0,3
no controls.<br,3,0,0,3
Galaxy tablet,0,3,0,3
Galaxy S model phones,0,3,0,3
Gaming performance<br /><br />I,0,3,0,3
Gaming blurry,0,3,0,3
GPS technology,0,2,1,3
basic computer usage,3,0,0,3
Very user friendly product,0,0,3,3
no gadgets,3,0,0,3
no features.<br /><br />The night vision,0,3,0,3
no feature,0,3,0,3
no good sound quality,3,0,0,3
no external accessories,3,0,0,3
But the software,0,3,0,3
apple macbook,0,3,0,3
apple i-phones,0,3,0,3
Wireless gulps battery,0,3,0,3
pleasing results,0,0,3,3
playing media,0,0,3,3
plastic toy cables,3,0,0,3
plastic tools,3,0,0,3
plug options,0,1,2,3
CAPABILITIES,3,0,0,3
CANON cameras,3,0,0,3
no mechanical parts,0,0,3,3
GPS app,0,0,3,3
no latency issues,0,1,2,3
no headset,3,0,0,3
no ipad,0,3,0,3
GPS Units,0,3,0,3
plastic!!!<br,3,0,0,3
plastic type material,3,0,0,3
apple's expensive cables,3,0,0,3
apple's covers,3,0,0,3
plastic conduit,0,3,0,3
plastic nut,0,3,0,3
planned obsolescence.<br /><br />I,3,0,0,3
CD-RAM DRIVE,3,0,0,3
CD/DVD player,0,1,2,3
CISCO/LINKSYS,0,3,0,3
no other mouse,3,0,0,3
basic  features,3,0,0,3
based cameras,0,0,3,3
Future improvements,0,3,0,3
no noticeable quality issues,0,3,0,3
no mouse pad,0,1,2,3
no other GPS,0,3,0,3
GB drives,0,3,0,3
GOOD MATERIALS,0,0,3,3
no mounting hardware,0,2,1,3
no lag issues,0,0,3,3
plastic (hard plastic,3,0,0,3
Wireless Experts Inc.,3,0,0,3
Wireless Experts,3,0,0,3
COMPLETE junk,3,0,0,3
pixel difference analysis,0,0,3,3
CPU Microcode,0,3,0,3
pics/videos/music,0,3,0,3
picture resolution,1,2,0,3
picture quality important?<br,0,3,0,3
picture clarity,0,3,0,3
CRUCIAL parts,0,3,0,3
Wireless G,0,3,0,3
CPU utilization,0,3,0,3
Cable part,3,0,0,3
Cables2Go,0,0,3,3
Cable/internet company,3,0,0,3
physical button push,0,3,0,3
Camera good,3,0,0,3
Fuji F70 battery,3,0,0,3
bare bones use,0,3,0,3
FujiFilms,0,3,0,3
Fuji X100s,0,3,0,3
Full size,0,2,1,3
Full-HD Home Entertainment,0,3,0,3
photography attributes,0,3,0,3
photo/video shoots,0,3,0,3
photo quality tanks,0,0,3,3
Camera body,0,2,1,3
Camera app,0,3,0,3
Camera quality sucks,3,0,0,3
phone/iPad chargers,0,3,0,3
phone/email authentication.<br />$10,0,0,3,3
no sound clarity,3,0,0,3
"Foot-pod, HRM-Strap",0,3,0,3
Foot-pod,0,3,0,3
Four parts,0,3,0,3
bandwidth statistics.<br />2,0,3,0,3
"bandwidth intensive & sensitive application"" claim",3,0,0,3
barely any usage and data/wifi,0,3,0,3
Fotodiox parts,0,0,3,3
Free<br />Not Finger Print Smudge Free,0,3,0,3
Free storage,0,2,1,3
Frame rate,0,0,3,3
Windows systems,0,1,2,3
phone/ipad devices,3,0,0,3
phone's bluetooth,0,3,0,3
Canon's own software,0,3,0,3
phone's a little slow/laggy,3,0,0,3
phone speaker,0,3,0,3
phone size,0,0,3,3
Canon brand,0,1,2,3
Case charger,0,3,0,3
Case charge,3,0,0,3
non gps drones,3,0,0,3
"balanced, detailed sound",0,0,3,3
VibeCellular.com,0,3,0,3
"Very, very thin material",3,0,0,3
no “Leather charging cover,0,3,0,3
noisey,0,3,0,3
Flac quality,0,0,3,3
Flimsy pieces,0,3,0,3
Flimsy crap,3,0,0,3
Flimsy and poor quality,3,0,0,3
no technical testing,0,3,0,3
Floppy-disk performance,0,3,0,3
apps.<br,0,3,0,3
approximately a 15dB improvement,0,0,3,3
approximately 6.8g.,3,0,0,3
approximately 40 gigs,0,3,0,3
phone cord,0,1,2,3
phone coolers,0,3,0,3
Card:<br />The 16GB SD card,0,0,3,3
Cellphone,0,0,3,3
Windows Device Manager,0,3,0,3
phone cable,0,2,1,3
Charge duration,0,0,3,3
phone  work,0,0,3,3
personal close  proximity location devices,0,3,0,3
non-phone/tablet devices,0,3,0,3
non-intuitive user interface,3,0,0,3
nonsense obsolete ports,3,0,0,3
nonetheless a brilliantly sharp monitor,0,0,3,3
Video Lighting Kits,0,2,1,3
non-bluetooth audio sources.<br,0,3,0,3
non-NAS devices)<br,0,3,0,3
Fitbit HR,0,3,0,3
Flexible and long cord,3,0,0,3
around 10 devices,0,3,0,3
around $2 / 4gb stick,0,3,0,3
armbands.<br,0,0,3,3
arm/,3,0,0,3
Charging Ports,0,0,3,3
Cheap Parts | Break Easy,0,3,0,3
Cheap Camera,0,3,0,3
perhaps a larger dell,0,3,0,3
performance.<br />The throughput,3,0,0,3
Finger tips,3,0,0,3
normal mouse operations,0,3,0,3
Finger print scanner,3,0,0,3
normal camera gear,0,3,0,3
normal USB speed,0,3,0,3
"First off: thin, light and better resolution",0,0,3,3
First device,2,1,0,3
Charging adaptor cam,0,3,0,3
Wifi cameras,0,1,2,3
Charging outlet,0,3,0,3
Cheap and low quality,3,0,0,3
Cheap sound,3,0,0,3
perfectly no issues,0,0,3,3
Features:<br,0,2,1,3
Finally a charger,0,0,3,3
not a microphone jack,0,3,0,3
back speakers,0,2,1,3
"Video good but again, battery drains",0,3,0,3
backup devices,0,1,2,3
bad performance.<br,3,0,0,3
Film Speed,0,0,3,3
not &#34;Charging,0,3,0,3
Fingerprint catcher,0,0,3,3
around 18.1 MB,0,3,0,3
perfect performance,0,0,3,3
perfect cables,0,0,3,3
Chromebook chargers/cords,0,3,0,3
Circuit board,0,3,0,3
not all usb-c devices,0,3,0,3
not all media music player,3,0,0,3
backmthe ipad,0,3,0,3
Fast-charging,0,2,1,3
not a tech expert,3,0,0,3
not a huge battery drain,0,3,0,3
not a single device,3,0,0,3
not a plug,3,0,0,3
not exactly an audiophile,3,0,0,3
back mouse buttons,0,3,0,3
"back - Honestly, bad quality control",3,0,0,3
View Wireless Networks,0,3,0,3
b700,0,3,0,3
not battery,2,1,0,3
Fast processing,0,0,3,3
Fast transfer rate,0,0,3,3
Fast throughput,0,3,0,3
pen/pencil slots,0,0,3,3
pen inputs,3,0,0,3
WiFi) reference,0,3,0,3
around 20-30MB/s,0,3,0,3
peak efficiency,0,0,3,3
Claimed battery life,0,3,0,3
Clean and easy install,0,0,3,3
Clean and accurate sound,0,0,3,3
parts quality,3,0,0,3
pc ...camera...printers,3,0,0,3
pathetic performance,3,0,0,3
WiFi operation,0,3,0,3
around 6000 hz,0,3,0,3
paint quality,0,0,3,3
paper cuts copious activation codes,3,0,0,3
not my other usb C chargers,3,0,0,3
Video/screen qualify,0,0,3,3
awesome.<br /><br />Touch screen,0,0,3,3
Fantastic screen,0,0,3,3
not laptops,0,0,3,3
not heavy video rendering,0,3,0,3
Fast charger,0,1,2,3
not the Charging Hub,3,0,0,3
awesome sounding headphones,0,0,3,3
Fantastic cables,0,0,3,3
not really a HD,0,0,3,3
not only faster access,0,0,3,3
not perfect but works well...plugs,0,0,3,3
not one charging cord,3,0,0,3
pairing/devices,0,3,0,3
around 54 mbps,0,3,0,3
WiFi security,2,0,1,3
p&s cameras,0,0,3,3
owner GPS data,0,3,0,3
overall usability,0,0,3,3
overpriced junk,3,0,0,3
Cloud Cam.<br,3,0,0,3
Color quality,0,0,3,3
Coils,0,0,3,3
overclock.<br,0,1,2,3
not the high end cables,3,0,0,3
FREE Bluetooth,0,0,3,3
FRAGILE,3,0,0,3
Fabulous cd player,0,0,3,3
not the higher charge amp,3,0,0,3
Fake worst corrupt not a good product,3,0,0,3
not speeds,0,3,0,3
not some larger metric size,0,3,0,3
not so much Wi-Fi clients,0,3,0,3
not the Kindle's battery,0,3,0,3
overall volume,0,3,0,3
overall usage,0,0,3,3
Comfortable mouse,0,0,3,3
overall throughput,0,3,0,3
Comfortable and very good sound quality,0,0,3,3
overall output,3,0,0,3
"Comfortable, excellent noise reduction",0,0,3,3
Compact Flash cards,0,3,0,3
arrow pad,0,3,0,3
overall a really great laptop,0,0,3,3
overall comfort,0,0,3,3
overall clear image quality,0,3,0,3
Compatible devices,3,0,0,3
Extremely poor sound,3,0,0,3
notebook computers,1,1,1,3
"noticably stout, thick lens",0,3,0,3
not wifi,1,2,0,3
notebook/pencil,0,3,0,3
FAR more noise artifacts,0,3,0,3
not very heavy weight,0,3,0,3
not the most comfortable headset,3,0,0,3
awesome cables,0,0,3,3
Voice clarity,2,0,1,3
Volume controls,1,0,2,3
awesome little headphones,0,0,3,3
numerous cables,2,0,1,3
numerous heavy duty Motorola radios,0,3,0,3
now the SU800,3,0,0,3
overall bag profile,3,0,0,3
overall appearance/presentation,3,0,0,3
WiFi location,3,0,0,3
WiFi function,0,0,3,3
"Compact, light, great alternative",0,0,3,3
over 700 gigs,0,3,0,3
over 50%battery life,0,3,0,3
over 4 gb,3,0,0,3
over 30 wifi devices,3,0,0,3
over 4GB,0,3,0,3
Excellent video camera,0,0,3,3
official Apple or Belkin cables,0,3,0,3
off-site storage,0,3,0,3
off-site cloud storage,0,0,3,3
oh and the rubber cups,0,0,3,3
obsolete tech,0,0,3,3
numerous different ear pieces,0,0,3,3
numerous other Bluetooth devices,3,0,0,3
over 20mph,3,0,0,3
over 20 wireless devices,0,0,3,3
over 20 devices,0,2,1,3
"as described, light weight",0,0,3,3
Complete flimsy junk,3,0,0,3
outstanding picture quality,0,0,3,3
output capacity,0,3,0,3
Computer engineer,0,3,0,3
out of 4 devices,0,3,0,3
as good a tablet,0,0,3,3
our wired monitor,0,3,0,3
Consumer Cellular ZTE,3,0,0,3
Convenient built-in  volume control,0,3,0,3
old iPad,0,0,3,3
aware radio,0,3,0,3
Excellent quality picture,0,0,3,3
ok video functions,3,0,0,3
ok quality cables,0,3,0,3
"oh, but not the Nikon",0,3,0,3
okay camera,3,0,0,3
Excellent stereo speakers,0,0,3,3
Excellent sound quality and noise cancellation,0,0,3,3
Excellent storage,0,0,3,3
older Sony,0,3,0,3
older Linksys,0,3,0,3
older computer,1,2,0,3
Excellent product quality,0,0,3,3
Excellent processor,0,0,3,3
average 80 MB/s,0,3,0,3
average quality sound,3,0,0,3
WAY better pictures,3,0,0,3
older and newer models,0,0,3,3
our stereo,0,3,0,3
our soundbar,0,3,0,3
Convenient pocket size,0,0,3,3
our satisfaction,0,0,3,3
Cool Phone,0,0,3,3
Cool.  20 gig storage,0,0,3,3
one USB receptor,0,0,3,3
Excellent portable card reader,0,0,3,3
older laptop,0,1,2,3
older hardware,0,0,3,3
our power system,0,3,0,3
Which device,0,3,0,3
Wi-Fi or tether cable,0,3,0,3
our portable DVD players,0,0,3,3
our other web cams,0,3,0,3
our phone chargers,0,3,0,3
our phone cases,0,3,0,3
one cool little gadget,0,0,3,3
available video cameras,0,3,0,3
one charging,0,2,1,3
one charger cube,0,0,3,3
Excellent fidelity,0,0,3,3
one appliance,0,0,3,3
one USB-A charger connection,0,3,0,3
one big design flaw,3,0,0,3
Corsair memory,1,1,1,3
our old monitor,0,0,3,3
Couple features,0,0,3,3
our next tablet,0,3,0,3
our new Asus tablet,3,0,0,3
one iPod model,3,0,0,3
one major feature,0,0,3,3
one little feature,0,3,0,3
one great model,0,0,3,3
one good battery,3,0,0,3
Excellent external drive,0,0,3,3
one entire day.<br />Charging cable,3,0,0,3
automobiles,1,2,0,3
one micro USB,0,0,3,3
one mic sleeve,0,0,3,3
one no-name battery brand,3,0,0,3
Excellent bluetooth,0,0,3,3
Excellent charging cable,0,0,3,3
as thick and vinyl feeling,0,3,0,3
as much versatility,3,0,0,3
assorted other devices,3,0,0,3
our local phone company,0,0,3,3
our intended monitoring devices,0,3,0,3
Crisp picture,0,2,1,3
only 29Mbs,0,3,0,3
Excellent Camera,0,0,3,3
online picture / video storage,0,3,0,3
ones fingers,0,3,0,3
one's laptop,0,2,1,3
one speakers,0,0,3,3
one usable video,3,0,0,3
one touch access,0,0,3,3
one or multiple devices,0,3,0,3
"one simple, useful setting",3,0,0,3
one popular hard drive models,3,0,0,3
Whatever components,3,0,0,3
What size,0,3,0,3
our home security system,0,1,2,3
our home devices,3,0,0,3
our iMac,0,2,1,3
our home DVD players,0,0,3,3
our existing outdoor cameras,0,3,0,3
our existing monitor,0,3,0,3
only a few charges,0,3,0,3
auto-scan,0,3,0,3
only USB C,0,3,0,3
only 970G capacity,0,3,0,3
only 2600sqft,3,0,0,3
only 461 GB,0,3,0,3
only HP products,3,0,0,3
Excellent GPS,0,0,3,3
our existing camera,0,0,3,3
asus bios,3,0,0,3
Cybpowerpc,0,3,0,3
Cyberpowerpc,3,0,0,3
D3100,0,3,0,3
our components,2,1,0,3
WPA-Auto-Personal,0,3,0,3
WIRELESS,2,1,0,3
only a power button,0,3,0,3
only and HD video,0,0,3,3
Every other Sharp MD  player/recorder,0,3,0,3
Every other CF card reader,0,3,0,3
Every charger,3,0,0,3
at all tech,0,3,0,3
our computer monitor,0,3,0,3
DC / Universal AC-DC Power Socket Adapter Converter - Use Car Chargers,0,0,3,3
DATA STORAGE,0,0,3,3
D800,0,2,1,3
DEFAULTED DEVICE,0,3,0,3
DE ALIMENTACIÓN DE MI PC,0,3,0,3
only kind of hard part,0,3,0,3
"Even so, the iPod rocks",0,0,3,3
audiophile equipment,3,0,0,3
audiophile's journey,0,0,3,3
audiophile speakers,0,3,0,3
Even the menu,0,3,0,3
only battery power,0,3,0,3
Even the tiny charging light,3,0,0,3
only one keyboard,0,0,3,3
only speakers,0,3,0,3
only sound.<br /><br />Most apps,0,0,3,3
Way cheaper then ring cameras,0,0,3,3
Even the Samsung Apps,0,3,0,3
only my phone charger,0,3,0,3
only my camera,0,3,0,3
only manufacturer's defects,3,0,0,3
at least 15 GB,0,3,0,3
our WiFi signal,3,0,0,3
our Toshiba microwave,3,0,0,3
DRIVERS.<br,3,0,0,3
DV2000,0,3,0,3
DTS Connect,0,3,0,3
only the left earphone,0,3,0,3
Envy 360 Laptop,3,0,0,3
only the battery tester,0,3,0,3
only the battery door,3,0,0,3
Eternet port,3,0,0,3
only the Anker cables,0,3,0,3
only the Vivofit-2,0,3,0,3
What a great sound,0,0,3,3
at least 2 button presses,0,3,0,3
our Samsung Tablets,3,0,0,3
our Sony Camera,3,0,0,3
our Sony Bravia,0,3,0,3
our ROKU streaming devices,3,0,0,3
DVD drive.<br,0,0,3,3
DVD PLAYER,3,0,0,3
Elegant looking case,0,0,3,3
only the usb portion,0,3,0,3
only the one focus knob,0,0,3,3
optical distortion.<br,3,0,0,3
optical audio.<br,0,0,3,3
"Well built, sharp screen",0,0,3,3
operational.<br,3,0,0,3
El producto de excelente calidad el único,0,3,0,3
operating experience,3,0,0,3
only three buttons,1,2,0,3
open design,2,0,1,3
DVD-Audio,3,0,0,3
at least 476 GB,0,3,0,3
at least 4 gb,0,3,0,3
at least Smart Audiobook Player,0,0,3,3
at least 720p now.<br,0,3,0,3
our Kindle tablets,0,3,0,3
DVD/CD component player,0,0,3,3
audio quality issues,0,3,0,3
audio quality and Home Screen live viewing,3,0,0,3
audio stuff,0,0,3,3
